name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type
Cascade River State Park,Cook,2867,1957,Lake Superior and Cascade River,47.7097222,-90.5222222﻿,Stretches along 10.5 miles (16.9 km) of Lake Superior coastline in land rehabilitated after construction of Minnesota State Highway 61.[23] A WPA highway wayside is on the NRHP.[6],,https://stateparks.com/cascade_river_state_park_recreation_site_in_minnesota.html,NA,"Come to Cascade for the rushing river and grand waterfalls that lay within a gorge, lush with moss and ferns that grow on black volcanic rocks. Hike the trail through birch, spruce and white cedar; stop to see the views of Lake Superior, the largest freshwater lake in the world. Trails connect with the Superior Hiking Trail and the North Shore State Trail and offer great recreational opportunities to hikers and cross-country skiers. Drive-in and backpack campsites are available.",state park
Charles A Lindbergh State Park,Morrison,417,1931,Mississippi River,45.9588545,-94.3952813﻿,"Contains the restored home of Congressman Charles August Lindbergh and his son Charles Lindbergh, the famous aviator.[24] The house is a National Historic Landmark, and a district of WPA structures is on the NRHP.[25]",,https://stateparks.com/charles_a_lindbergh_state_park_in_minnesota.html,"1615 Lindbergh Drive SouthLittle Falls, Minnesota   56345","Located on the Mississippi River, Charles A. Lindbergh State Park offers visitors a quaint picnic area. The picnic area includes a historic Work Projects Administration (WPA) picnic shelter and a stone water tower. Fish the waters of the Mississippi River, canoe Pike Creek, or walk the trails amid grand red and white pine, aspen, oak and prairie. Look for bald eagles in the spring and fall. During your visit, stop in at the historic home of Charles A. Lindbergh, Sr., father of the famous aviator, Charles A. Lindbergh, Jr. The home is operated by the Minnesota Historical Society (MHS) and is adjacent to the park.",state park
Crow Wing State Park,"Crow Wing, Cass, and Morrison",2335,1959,Mississippi and Crow Wing Rivers,46.2722222,-94.3333333﻿,"Interprets the site of Old Crow Wing, an important town and trading center in the mid-19th century. The town site and a section of the Red River Trails are both on the NRHP.[6][26]",,NA,NA,"This is a nature lover's delight. Explore prairie, pine, and hardwood forests. View the Mississippi River from historic and picturesque ""Chippewa Lookout."" Novice canoeists can paddle the calm waters of the Crow Wing and Mississippi Rivers. Crow Wing is a park rich in cultural history. In this area, a frontier town emerged to serve the needs of travelers and traders. The town died when the railroad chose to cross the river at Brainerd. Walk through the site of the Old Crow Wing Village for a sense of history. The park still has a section of the famous Woods Trail, which served ox cart traffic that carried supplies between St. Paul and the Red River settlements.",state park
Cuyuna Country State Recreation Area,Crow Wing,6850,1993,"Chain of small lakes and streams, filled pit mines",46.489550,-93.977500﻿,"In development as the land is rehabilitated from open-pit iron mining. Includes Portsmouth Mine Pit Lake, the state's deepest lake.[27]",,NA,NA,NA,NA
Father Hennepin State Park,Mille Lacs,275,1941,Mille Lacs Lake,46.1446779,-93.4880157﻿,Provides lakeside recreation in the region visited by Father Louis Hennepin during a French expedition in 1680.[28],,https://stateparks.com/father_hennepin_state_park_in_minnesota.html,"41294 Father Hennepin Park RoadIsle, Minnesota   56342","Father Hennepin State Park is located on the southeast shore of Mille Lacs Lake. Visitors enjoy a large sandy beach for swimming, two boat accesses, fishing piers and picnic sites with a panoramic view of the lake. The park's 320 acres include two campgrounds and hiking trails that wind through a hardwood forest and along the rocky shoreline of Mille Lacs. The park's original vegetation was northern hardwoods mixed with marsh areas and pines along the lake. The hardwoods provide shade during the summer and spectacular color in the fall.
",state park
Flandrau State Park,Brown,840,1937,Cottonwood River,44.2882956,-94.4735837﻿,Created to provide water recreation near New Ulm.[29] Entire park is a district of CCC and WPA structures on the NRHP.[30],,https://stateparks.com/flandrau_state_park_in_minnesota.html,"1300 Summit AvenueNew Ulm, Minnesota   56073","The gentle flowing Big Cottonwood River meanders through this southern park. The sand-bottom swimming pond, picnic area, campgrounds and group center attract many visitors every summer to this very popular state park. The terrain is diverse, offering views of wooded river bottoms, oxbow marshes and open grasslands. Hikers and cross-country skiers enjoy the flat trails on the bottom of the valley or more challenging routes on the oak-shaded bluffs. Visit historic stone buildings crafted by Works Progress Administration(WPA)crews. Vegetative features include goat prairies, small white lady's slippers, and the floodplain forest.",state park
Forestville Mystery Cave State Park,Fillmore,3163,1963,South Branch Root River and tributaries,43.6255204,-92.247388﻿,"Encompasses the historic townsite of Forestville, the state's longest explored cave, and three blue-ribbon trout streams.[31]",,NA,NA,"Visit Forestville/Mystery Cave State Park to see natural wonders above and below ground. In the summer, beat the heat with a visit below ground. Explore the world of Mystery Cave with its stalactites, stalagmites, and underground pools. Park naturalists provide tours of the cave throughout the summer and on weekends in the spring and fall. The temperature stays at a constant 48 degrees Fahrenheit. Learn more about Mystery Cave Tours. Above ground, stop by Historic Forestville, a restored 1800s village operated by the Minnesota Historical Society (MHS). Fish three blue-ribbon trout streams for brown trout. Take in the soft pastels of wildflowers in spring or listen to ruffed grouse drumming and wild turkeys gobbling. Hike or bring your horse to ride the ridge tops and stream valleys. Observe interesting geologic features along the way including sinkholes and dramatic Big Spring. In the fall, don't miss the bold colors of the forest. Winter invites visitors to ski or snowmobile the Bluff Country.
",state park
Fort Ridgely State Park,Nicollet and Renville,537,1911,Fort Ridgely Creek,44.4524621,-94.7308199﻿,"Surrounds Fort Ridgely, site of the Battle of Fort Ridgely during the Dakota War of 1862. The fort and a large district of CCC structures are both on the NRHP.[32][33]",,https://stateparks.com/fort_ridgely_state_park_in_minnesota.html,"72158 County Road 30Fairfax, Minnesota   55332","Tour Historic Fort Ridgely and wander through the ruins of this once thriving outpost. Learn about the U. S.-Dakota Conflict of 1862, a major event in Minnesota's early history. Stop by the cemetery to learn more about the history. For recreation, this park offers plenty: play a nine hole course; hike or ride the trails on horseback; play volleyball or softball; fish; and camp (drive-in and walk-in sites are available). Come winter, ski, snowmobile or sled down the big hill.",state park
Fort Snelling State Park,"Ramsey, Hennepin, and Dakota",1825,1961,Mississippi and Minnesota Rivers,44.8857988,-93.1779985﻿,"Contains historic Fort Snelling, built in 1819, and floodplain forest in the heart of Minneapolis – Saint Paul. The fort is a National Historic Landmark and the entire park is part of the Mississippi National River and Recreation Area.[34]",,https://stateparks.com/fort_snelling_state_park_in_minnesota.html,"101 Snelling Lake RoadSt. Paul, Minnesota   55111","Located in the heart of the Twin Cities, this park offers extensive hiking, bike and ski trails that link to Minnehaha Park and the Minnesota Valley National Wildlife Refuge. Canoe on Gun Club Lake, play golf, swim in Snelling Lake, or hike on Pike Island where the Mississippi and Minnesota rivers converge. Interpretive exhibits and films on display in the Thomas C. Savage Visitor Center give visitors a good background on the history and resources of the park and area. Trails also allow visitors to hike up to the historic Fort Snelling for a view of military life in the 1820s. This is a day-use only park; no camping is available.",state park
Franz Jevne State Park,Koochiching,118,1967,Rainy River,48.642240,-94.080410﻿,"Features scenic property on the Canada–United States border, donated by the sons of Franz Jevne, a lawyer, on the condition that the park be named after their father.[35]",,NA,NA,"Secluded and peaceful, this park offers picturesque views of Ontario and the Rainy River. Short paths and a boat launch offer access to the river for fishing, where anglers can catch walleye, northern, small mouth bass and sturgeon. Pitch a tent in the rustic campsites, equipped with pit toilets, and a hand pump for water. A picnic area overlooks Sault Rapids.",state park
Frontenac State Park,Goodhue,2226,1957,Lake Pepin on Mississippi River,44.5074677,-92.3262914﻿,Attracts 260 species of year-round and migrant birds with its variety of habitats. Includes a natural arch atop a 430-foot (130 m) bluff.[36],,https://stateparks.com/frontenac_state_park_in_minnesota.html,"29223 County 28 BoulevardFrontenac, Minnesota   55026","Located on the Mississippi River, Frontenac is a birdwatcher's paradise. It's one of the best spots in the country to view birds migrating in the spring and fall. More than 260 species of birds have been recorded here. No wonder: Lake Pepin's diverse habitats -- bluffland, prairie, floodplain forest and upland hardwood forest -- attract numerous warblers, hawks, waterfowl and shorebirds. Hikers and skiers enjoy spectacular views of this beautifully wooded river valley. Fishing, swimming and boat tours are all available nearby.",state park
Garden Island State Recreation Area,Lake of the Woods,715,1998,Lake of the Woods,49.175335,-94.834671﻿,"Comprises a nearly undeveloped island, 15 mi (24 km) from the closest mainland marinas, that once bore Native American gardens.[37]",,NA,NA,NA,NA
George H Crosby Manitou State Park,Lake,6200,1955,Manitou River,47.506018,-91.109045﻿,Contains undeveloped North Woods wilderness geared towards backpackers.[38],,https://stateparks.com/george_h_crosby_manitou_state_park_in_minnesota.html,"5702 Highway 61Silver Bay, Minnesota   55614","Come to this north-country wilderness park where waterfalls cascade through a volcanic canyon surrounded by majestic forest. The trails in the park are carved through a forest of fir, cedar, spruce, and northern hardwoods. Although the trails are steep and challenging for hikers and backpackers, they offer spectacular views. Secluded campsites are for backpackers only. Trout (brown, rainbow, and brook) and splake (a hybrid of brook and lake trout) reside in Benson Lake. Watch for moose, deer, bear, and wolves.",state park
Glacial Lakes State Park,Pope,1857,1963,Several kettle lakes,45.537461,-95.521983﻿,Preserves rolling tallgrass prairie amidst the glacial landforms of the Leaf Hills Moraines.[39],,https://stateparks.com/glacial_lakes_state_park_in_minnesota.html,"25022 County Road 41Starbuck, Minnesota   56381","Stand on top of the scenic glacial hills and experience the vast, open prairie which once dominated Minnesota. Wildflowers and prairie grasses blanket the landscape from spring through fall. Swim, fish or boat (electric motors only) in the fresh, clear waters of 56-acre Mountain Lake. A shady, spacious campground is available; horseback riders and backpack campers can camp at the trail center and at remote sites. Canoe rental available. A picnic area deck overlooks Mountain Lake.",state park
Glendalough State Park,Otter Tail,1924,1991,Six kettle lakes,46.3333333,-95.6666667﻿,"Developed from the former private retreat and game farm of the owners of the Star Tribune newspaper, with a heritage fishery of large game fish.[40]",,NA,NA,"Nestled in the transition zone between prairie and hardwood forest, Glendalough offers a true respite from civilization. Crystal clear Annie Battle Lake is a 335-acre, non-motorized ""Heritage Fishery"" that provides a tranquil fishing experience second to none. Special regulations sustain a steady supply of large sunfish, crappie, and the occasional walleye for the frying pan, and large bass for the camera. Near the pristine shores of this lake are a cart-in campground and canoe-in campsites, all free from the traffic and noise of traditional drive-in camping. Annie can also be the starting point for an exploration of the park by canoe or kayak on the connecting creeks. The restored historic Glendalough lodge on the north side of the lake details the park's history as a private retreat and game farm for the Minneapolis Tribune. A paved bike trail loop and numerous hiking trails, including two interpretive trails, meander along five lakes, through rich woods and blooming prairies. Wildlife abounds year-round, and there are many observation decks along the trails. Trails are groomed in winter for skiing and snowshoeing. Picnicking and swimming is available on two sandy lakes.",state park
Gooseberry Falls State Park,Lake,1741,1937,"Lake Superior, Gooseberry River",47.1468715,-91.4632289﻿,"Serves as the gateway to the scenic North Shore. Features five waterfalls, an agate beach, and a large district of CCC structures on the NRHP.[41][42]",,https://stateparks.com/gooseberry_falls_state_park_in_minnesota.html,"3206 Highway 61 EastTwo Harbors, Minnesota   55616","Gooseberry Falls is the gateway to the North Shore. It is known for its spectacular waterfalls, river gorge, Lake Superior shoreline, Civilian Conservation Corps log and stone structures, and north woods wildlife.Listen to the thunderous roar of the Upper, Middle and Lower Falls of the Gooseberry River, as it plummets through a rocky gorge. Watch for waves, ships, or the moon rise on Lake Superior from an ancient lava flow known as the Picnic Flow.Hike or ski to see the Fifth Falls through a forest of evergreens, aspen, and birch.Enjoy camping in modern campsites, picnicking, and relaxing along the Lake Superior shoreline or the Gooseberry River.To get the most out of your visit, stop by the Joseph N. Alexander Visitor Center where you can find park information, interpretive displays, a park video, Nature Store, and more. Or visit the Gateway Plaza for outdoor interpretive signs on area resources and history.",state park
Grand Portage State Park,Cook,278,1989,Pigeon River,48.0101633,-89.6120317﻿,"Features a 120-foot (37 m) waterfall, Minnesota's tallest, on the Canada–United States border. Co-managed with the Grand Portage Indian Reservation, the only state – tribal collaboration of a U.S. state park.[43]",,NA,NA,NA,NA
Great River Bluffs State Park,Winona,2122,1963,Mississippi River,43.9463526,-91.3993094﻿,Features 500-foot-high (150 m) bluffs and steep goat prairies. Formerly named O.L. Kipp State Park.[45],,https://stateparks.com/o_l_kipp_state_park_in_minnesota.html,NA,"This is beautiful bluff country! The park contains two Scientific and Natural Areas (SNAs), King's and Queen's Bluff. The King's Bluff trail offers a breathtaking view of the Mississippi River Valley. Bring your binoculars; the river valley is a major flyway for waterfowl, eagles, and hawks. Explore the diversity in this park: oak-hickory and maple-basswood forests, pine plantations, fields, and goat prairies offer visitors excellent hiking and a diversity of wildlife. Look for ruffed grouse, wild turkeys, coyotes, and many species of songbirds.",state park
Greenleaf Lake State Recreation Area,Meeker,1230,2004,Greenleaf and Sioux Lakes,45.01591,-94.46671﻿,In development and open for limited day-use recreation.[46],,NA,NA,NA,NA
Hayes Lake State Park,Roseau,2118,1967,"Hayes Lake, North Fork Roseau River",48.623309,-95.507753﻿,Provides fishing and swimming opportunities in an exclusively recreational reservoir free of agricultural runoff or water level fluctuations for irrigation or power generation.[4]: 250,,https://stateparks.com/hayes_lake_state_park_in_minnesota.html,"48990 County Road 4Roseau, Minnesota   56751","Some days it's just you, loons, and moose, while you traverse around Hayes Lake. Fed by the north fork of the Roseau River, the lake supports crappie, sunfish, and northerns. Birdwatchers have spotted over 200 species in or near the park. The summer is perfect to look for orchids, gentians, and blueberries (you can pick the berries, but not the flowers). Visitors also enjoy swimming and canoeing in the lake, along with camping. Trails for hiking, skiing, snowmobiling, and horseback riding connect with the Beltrami Island State Forest.",state park
Interstate State Park,Chisago,288,1895,St. Croix River,45.3949622,-92.6696521﻿,Created in conjunction with a state park in Wisconsin to protect a basalt gorge and glacial potholes.[47] Two districts of CCC and WPA structures are on the NRHP.[48],,https://stateparks.com/interstate_state_park_in_minnesota.html,"307 Milltown RoadTaylors Falls, Minnesota   55084","There is so much to do at Interstate State Park, located on the beautiful St. Croix River. Visitors can climb the cliffs of the St. Croix River Dalles, canoe the flatwater, watch kayakers rush through the rapids, or relax on a excursion boat. Spring brings a great diversity of wildflowers and in fall, the St. Croix River Valley forest is ablaze in the autumn colors of red, gold, and orange. The geology that formed this park intrigues visitors, and brings geologists from all over the world. At least 10 different lava flows are exposed in the park, along with two distinct glacial deposits, and traces of old streams valleys and faults. During the summer, hike the trails and explore the glacial potholes that make this park unique.",state park
Iron Range Off-Highway Vehicle State Recreation Area,St. Louis,1864,2002,Lake Ore-be-gone,47.48247,-92.44349﻿,Provides 36 miles (58 km) of trails for off highway vehicles.[49],,NA,NA,NA,NA
Itasca State Park,"Hubbard, Clearwater, and Becker",30553,1891,Lake Itasca,47.1974579,-95.2019642﻿,"Minnesota's oldest state park, which preserves the headwaters of the Mississippi River. The entire park and an individual archaeological site are on the NRHP, and a subsection is a National Natural Landmark.[50]",,https://stateparks.com/itasca_state_park_in_minnesota.html,"36750 Main Park DrivePark Rapids, Minnesota   56470","Established in 1891, Itasca is Minnesota's oldest state park. Today, the park totals more than 32,000 acres and includes more than 100 lakes. Walk across the mighty Mississippi as it starts its winding journey 2,552 miles to the Gulf of Mexico. Stand under towering pines at Preacher's Grove. Visit the Itasca Indian Cemetery or Wegmann's Cabin, landmarks of centuries gone by. Camp under the stars, or stay the night at the historic Douglas Lodge or cabins. Explore Wilderness Drive past the 2,000-acre Wilderness Sanctuary, one of Minnesota's seven National Natural Landmarks.",state park
Jay Cooke State Park,Carlton,8125,1915,Saint Louis River,46.6496646,-92.330748﻿,"Showcases a rocky, whitewater-strewn river churning through the North Woods.[51] Three districts of CCC and WPA structures and a long-used portage route are on the NRHP.[52]",,https://stateparks.com/jay_cooke_state_park_in_minnesota.html,"780 Highway 210Carlton, Minnesota   55718","Park trails link up to the Willard Munger State Trail at the north edge of the park; perfect for backpackers, bikers (both mountain and tour), hikers, horseback riders, and skiers. Check out the wildflowers in the spring, and the vivid colors in the fall. Walk on the swinging suspension bridge high above the raging St. Louis River. Visit the historic cemetery and the gorge at Thomson Dam.",state park
John A Latsch State Park,Winona,409,1925,Mississippi River,44.1619082,-91.8220997﻿,Features three steep river bluffs.[53],,https://stateparks.com/john_latsch_state_park_in_minnesota.html,"43605 Kipp DriveWinona, Minnesota   55987","John A. Latsch, a successful Winona businessman and founder of the Izaak Walton League, loved to fish in the waters of the Mississippi River below the bluffs of Faith, Hope, and Charity. Today, a half-mile hike up the deep ravine for a view from these peaks is well worth the effort. From this vantage point, visitors relish a grand and long view of the Mississippi River Valley, the green lush forest in the summer, and the colors in the fall.",state park
Judge C R Magney State Park,Cook,4323,1957,"Lake Superior, Brule River",47.8512799,-90.0584299﻿,"Contains the Devil's Kettle, a large glacial kettle into which half of the Brule River disappears.[54]",",[55]",https://stateparks.com/judge_c_r_magney_state_park_in_minnesota.html,"4051 East Highway 61Grand Marais, Minnesota   55604","Come for the quiet, the solitude, and the famous Devil's Kettle waterall. The most popular hike leads from the trailhead upstream along the Brule River to Devil's Kettle, where the river splits around a mass of volcanic rock. Half of the river plunges 50 feet into a pool, while the rest pours into a huge pothole. Anglers can catch brook and rainbow trout in the Brule River or its tributary, Gauthier Creek. The park offers camping, picnicking, hiking, and cross-country skiing.",state park
Kilen Woods State Park,Jackson,202,1945,Des Moines River,43.7266244,-95.0630473﻿,Preserves a riverside parcel of forested hills on the Coteau des Prairies.[56],,https://stateparks.com/killen_woods_state_park_in_minnesota.html,"50200 860th StreetLakefield, Minnesota   56150","For a quiet, relaxing time, hike the cool woodland trail which meanders along the tranquil Des Moines River, or enjoy the view of the river valley from Dinosaur Ridge Overlook. You'll find pleasant surprises as you explore small creeks, prairie grasslands, and oak savannas. Visitors enjoy camping, canoeing, fishing, picnicking and hiking. In the winter, enjoy tubing down the long, steep hill.",state park
La Salle Lake State Recreation Area,Hubbard,1000,2011,"Mississippi River, La Salle Lake",47.33719,-95.17061﻿,In development around the second-deepest lake in Minnesota.[57],,NA,NA,NA,NA
Lac qui Parle State Park,Lac qui Parle and Chippewa,897,1959,"Lac qui Parle, Minnesota and Lac qui Parle Rivers",45.0205141,-95.888921﻿,"Attracts thousands of migrating waterfowl, earning it the name ""Lake that Speaks.""[58] A district of WPA buildings is on the NRHP.[59]",,NA,NA,"Lac qui Parle is a French translation of the name given to the lake by the Dakota Indians who called it the ""lake that speaks."" If you visit in the spring or fall you'll understand why. The lake is a stop over for thousands of migratory Canada geese and other waterfowl. You'll hear a chorus of honking, quacking, and other vocalizations. Paddle the lake, or cast a line and catch walleye, northerns, perch, or crappie. Explore one of the trails by foot or horseback. Visit the historic Fort Renville and Lac qui Parle mission sites. While in the area, be sure to visit the 33,000 acre Lac qui Parle Wildlife Management Area.",state park
Lake Bemidji State Park,Beltrami,1653,1923,Lake Bemidji,47.5363413,-94.8227704﻿,Features a recreational lakeshore and a spruce-tamarack bog.[60] A district of CCC and National Youth Administration structures is on the NRHP.[61],,https://stateparks.com/lake_bemidji_state_park_in_minnesota.html,"3401 State Park Road NortheastBemidji, Minnesota   56601","This park is the perfect playground any time of year, offering visitors swimming, boating, fishing, birdwatching, hiking, camping, biking, picnicking, snowmobiling, cross-country skiing and year-around naturalist-led activities. Hikers can explore the beauty of a tamarack bog carpeted with showy lady's slippers, pitcher plants, dragon's mouth, grass pink, and insect-eating sundews. Most flowers are blooming in the bog during late spring and early summer.",state park
Lake Bronson State Park,Kittson,2806,1937,"Lake Bronson, South Branch Two Rivers",48.7247004,-96.6033741﻿,Features a reservoir created during a drought in the 1930s. A district of WPA structures is on the NRHP.[62],,https://stateparks.com/lake_bronson_state_park_in_minnesota.html,"28Lake Bronson, Minnesota   56734","From the observation tower in the park, view the prairie and aspen-oak forests or watch for deer, sharp-tailed grouse, moose and sandhill cranes. The South Branch of the Two Rivers fills Lake Bronson. The lake, which is actually a reservoir, offers visitors swimming, fishing, boating, great camping, and a tranquil backdrop for the picnic grounds. For those who prefer a prairie experience, one of the campground areas allows camping on the prairie. Trails for hiking, biking, cross-country skiing, and snowmobiling provide visitors with great recreation choices.",state park
Lake Carlos State Park,Douglas,1175,1937,Lake Carlos,45.9866293,-95.3278143﻿,Preserves diverse habitats from prairie to hardwood forest to tamarack bog in a transition zone.[63]  Two districts of WPA structures are on the NRHP.[64],,https://stateparks.com/lake_carlos_state_park_in_minnesota.html,"2601 County Road 38 NortheastCarlos, Minnesota   56319","Sculpted by ancient glaciers, Lake Carlos State Park contains a tamarack bog, marshes, woodland ponds, and lakes. A variety of recreational activities revolve around the lake. Clear and deep, Lake Carlos offers visitors a perfect setting for swimming, fishing, boating, camping, hiking and horseback riding. In the winter, ski from the tamarack bog to a maple-basswood forest.",state park
Lake Louise State Park,Mower,849,1963,"Lake Louise, Upper and Little Iowa Rivers",43.5335762,-92.5254538﻿,"Features a reservoir surrounded by oak savanna and patches of hardwood forest. Minnesota's oldest continuous recreation area, formerly a town park since the 1860s.[65]",,NA,NA,"Lake Louise lures hikers and horseback riders to its trails, which wind through open meadows and lush hardwoods. It also provides bicyclists with access to the paved Shooting Star State Trail, which bisects the park. A historic dam impounds the Upper Iowa and Little Iowa River, allowing for great paddling, swimming and fishing on Lake Louise. In addition, visitors swim, boat, or fish in Lake Louise. Hiking and horseback riding are also popular sports at this park. The lakeside picnic grounds and beach area draws visitors in the summer.",state park
